Game 1: Player1=2, Player2=2, Winner=0
Game 2: Player1=5, Player2=6, Winner=2
Game 3: Player1=6, Player2=6, Winner=0
Game 4: Player1=5, Player2=4, Winner=1
Game 5: Player1=2, Player2=4, Winner=2
Game 6: Player1=3, Player2=4, Winner=2
Game 7: Player1=6, Player2=4, Winner=1
Game 8: Player1=6, Player2=4, Winner=1
Game 9: Player1=2, Player2=2, Winner=0
Game 10: Player1=4, Player2=4, Winner=0
Game 11: Player1=4, Player2=4, Winner=0
Game 12: Player1=4, Player2=3, Winner=1
Game 13: Player1=4, Player2=5, Winner=2
Game 14: Player1=2, Player2=4, Winner=2
Game 15: Player1=4, Player2=3, Winner=1
Game 16: Player1=4, Player2=4, Winner=0
Game 17: Player1=1, Player2=6, Winner=2
Game 18: Player1=1, Player2=1, Winner=0
Game 19: Player1=3, Player2=3, Winner=0
Game 20: Player1=5, Player2=2, Winner=1
Game 21: Player1=4, Player2=1, Winner=1
Game 22: Player1=6, Player2=3, Winner=1
Game 23: Player1=4, Player2=2, Winner=1
Game 24: Player1=5, Player2=3, Winner=1
Game 25: Player1=5, Player2=3, Winner=1
Game 26: Player1=5, Player2=5, Winner=0
Game 27: Player1=3, Player2=1, Winner=1
Game 28: Player1=4, Player2=2, Winner=1
Game 29: Player1=6, Player2=5, Winner=1
Game 30: Player1=2, Player2=1, Winner=1
Game 31: Player1=1, Player2=5, Winner=2
Game 32: Player1=3, Player2=2, Winner=1
Game 33: Player1=4, Player2=4, Winner=0
Game 34: Player1=1, Player2=1, Winner=0
Game 35: Player1=4, Player2=3, Winner=1
Game 36: Player1=1, Player2=6, Winner=2
Game 37: Player1=6, Player2=2, Winner=1
Game 38: Player1=5, Player2=2, Winner=1
Game 39: Player1=1, Player2=6, Winner=2
Game 40: Player1=3, Player2=6, Winner=2
Game 41: Player1=4, Player2=4, Winner=0
Game 42: Player1=5, Player2=5, Winner=0
Game 43: Player1=2, Player2=2, Winner=0
Game 44: Player1=5, Player2=2, Winner=1
Game 45: Player1=3, Player2=6, Winner=2
Game 46: Player1=6, Player2=2, Winner=1
Game 47: Player1=6, Player2=1, Winner=1
Game 48: Player1=3, Player2=3, Winner=0
Game 49: Player1=3, Player2=2, Winner=1
Game 50: Player1=6, Player2=3, Winner=1
Game 51: Player1=1, Player2=3, Winner=2
Game 52: Player1=3, Player2=2, Winner=1
Game 53: Player1=5, Player2=2, Winner=1
Game 54: Player1=1, Player2=4, Winner=2
Game 55: Player1=4, Player2=6, Winner=2
Game 56: Player1=2, Player2=6, Winner=2
Game 57: Player1=6, Player2=6, Winner=0
Game 58: Player1=5, Player2=3, Winner=1
Game 59: Player1=6, Player2=2, Winner=1
Game 60: Player1=6, Player2=6, Winner=0
Game 61: Player1=2, Player2=1, Winner=1
Game 62: Player1=2, Player2=2, Winner=0
Game 63: Player1=2, Player2=2, Winner=0
Game 64: Player1=3, Player2=2, Winner=1
Game 65: Player1=6, Player2=1, Winner=1
Game 66: Player1=1, Player2=5, Winner=2
